n, training_error, validation_error
316 , 0.0177200842014 , 0.0500887390185
317 , 0.0166729637826 , 0.0490436664232
318 , 0.0177038916176 , 0.0506184426985
319 , 0.0156258433637 , 0.0493105660867
320 , 0.0187510120365 , 0.0508791988914
321 , 0.0208452528742 , 0.0487911015243
322 , 0.0177038916176 , 0.0482685652266
323 , 0.0187348194527 , 0.0493146617337
324 , 0.0187672046203 , 0.0490518577172
325 , 0.0187348194527 , 0.0487931493478
326 , 0.0177200842014 , 0.0506235622572
327 , 0.0197981324553 , 0.0516655631173
328 , 0.0176876990338 , 0.0490498098937
329 , 0.0166567711988 , 0.049052881629
330 , 0.0166567711988 , 0.0498331023843
331 , 0.0187348194527 , 0.0490539055407
332 , 0.0177038916176 , 0.0482706130501
333 , 0.0187348194527 , 0.047481177089
334 , 0.0156258433637 , 0.0474822010007
335 , 0.0166567711988 , 0.0469606886148
336 , 0.0166567711988 , 0.0467030041571
337 , 0.0166729637826 , 0.045652812003
338 , 0.0145949155287 , 0.0467009563336
339 , 0.0177200842014 , 0.0461753483006
340 , 0.0156258433637 , 0.0430462739851
341 , 0.0197819398715 , 0.0466937889513
342 , 0.0176876990338 , 0.0464340566701
343 , 0.0197981324553 , 0.0453910318983
344 , 0.0187510120365 , 0.046959664703
345 , 0.0177200842014 , 0.0467030041571
346 , 0.0156258433637 , 0.0464402001406
347 , 0.0156258433637 , 0.0464391762289
348 , 0.0145787229449 , 0.0451353952641
349 , 0.0187348194527 , 0.0440923704922
350 , 0.0156096507799 , 0.0453981992805
351 , 0.0166567711988 , 0.0440872509335
352 , 0.0156258433637 , 0.0412189328109
353 , 0.0187348194527 , 0.0401748841273
354 , 0.0166567711988 , 0.042004273125
355 , 0.0166729637826 , 0.0412220045462
356 , 0.0177038916176 , 0.040962272265
357 , 0.0166729637826 , 0.040440759879
358 , 0.016640578615 , 0.0401810275978
359 , 0.0145625303611 , 0.0388721270743
360 , 0.0145625303611 , 0.0401748841273
361 , 0.0145787229449 , 0.037301446446
362 , 0.0156096507799 , 0.0404397359673
363 , 0.0135477951098 , 0.0399110561991
364 , 0.013531602526 , 0.0396533717414
365 , 0.0145787229449 , 0.0399131040226
366 , 0.013531602526 , 0.0388700792508
367 , 0.013531602526 , 0.0399131040226
368 , 0.013531602526 , 0.0409602244415
369 , 0.0145787229449 , 0.0401800036861
370 , 0.013531602526 , 0.0380908824071
371 , 0.013531602526 , 0.0383495907766
372 , 0.0156096507799 , 0.0375642504625
373 , 0.013531602526 , 0.0388700792508
374 , 0.0156096507799 , 0.0386103469696
375 , 0.0145625303611 , 0.0396543956532
376 , 0.013531602526 , 0.0388711031625
377 , 0.013531602526 , 0.0380888345836
378 , 0.013531602526 , 0.0388721270743
379 , 0.013531602526 , 0.0399151518461
380 , 0.013531602526 , 0.0393926155484
381 , 0.016640578615 , 0.0391328832672
382 , 0.0155934581961 , 0.0380888345836
383 , 0.0145625303611 , 0.0367819818836
384 , 0.0145625303611 , 0.0375642504625
385 , 0.012500674691 , 0.0352153969023
386 , 0.0145787229449 , 0.0370417141648
387 , 0.012500674691 , 0.0362594455859
388 , 0.0145787229449 , 0.0367830057953
389 , 0.012500674691 , 0.0357369092882
390 , 0.013531602526 , 0.0367799340601
391 , 0.012500674691 , 0.0370437619883
392 , 0.0145625303611 , 0.0349546407094
393 , 0.0145625303611 , 0.034174419954
394 , 0.0145625303611 , 0.033913663761
395 , 0.0145625303611 , 0.033913663761
396 , 0.013531602526 , 0.0367850536188
397 , 0.0145787229449 , 0.0362655890564
398 , 0.013531602526 , 0.0357410049353
399 , 0.013531602526 , 0.0349577124446
